source_text,translation_text
程式：,프로그램:
教导参数有修改，是否需要保存？,교육 매개변수가 수정되었습니다. 저장하시겠습니까?
回原点中...,원점으로 돌아가는 중...
复位中...,리셋 중...
操作指引,조작 안내
编辑位置,위치 편집
导入图片,이미지 가져오기
新增,추가
轴动作,축 동작
手动,수동
位置+,위치+
速度,속도
轴选择,축 선택
禁止,금지
位置-,위치-
调机,기계 조정
调机功能,기계 조정 기능
手动智能力矩,수동 스마트 토크
编码器脉冲,인코더 펄스
每转距离,회전당 거리
当前轴,현재 축
内部脉冲,내부 펄스
正转,정회전
反转,역회전
无信号Z轴允许下降,신호 없이 Z축 하강 허용
卡爪/机床,집게/기계
控制旋转1断,제어 회전 1 단절
启动加工1断,가공 시작 1 단절
自动门1关,자동 문 1 닫힘
主轴定位1断,주축 위치 지정 1 단절
机床控制使能,기계 제어 활성화
卡盘1松开,척 1 해제
吹气1断,바람 1 단절
成品1松开,완성품 1 해제
卡爪1反转,집게 1 역회전
原料1松开,원료 1 해제
组一,그룹 1
预留Y1断,예약 Y1 단절
预留Y2断,예약 Y2 단절
预留Y3断,예약 Y3 단절
预留Y4断,예약 Y4 단절
预留Y5断,예약 Y5 단절
预留Y6断,예약 Y6 단절
预留Y7断,예약 Y7 단절
预留Y8断,예약 Y8 단절
组二,그룹 2
预留Y9断,예약 Y9 단절
预留Y10断,예약 Y10 단절
预留Y11断,예약 Y11 단절
预留Y12断,예약 Y12 단절
预留Y13断,예약 Y13 단절
预留Y14断,예약 Y14 단절
预留Y15断,예약 Y15 단절
预留Y16断,예약 Y16 단절
组三,그룹 3
预留Y17断,예약 Y17 단절
预留Y19断,예약 Y19 단절
预留Y21断,예약 Y21 단절
预留Y23断,예약 Y23 단절
预留Y18断,예약 Y18 단절
预留Y20断,예약 Y20 단절
预留Y22断,예약 Y22 단절
预留Y24断,예약 Y24 단절
IO板,IO 보드
刷新,새로 고침
referPoint.png,referPoint.png
名称：,이름:
移至参考点,참조 포인트로 이동
进入堆叠,스택으로 진입
当前未找原点,현재 원점을 찾지 못함
请输入高级管理员密码,고급 관리자 비밀번호를 입력하세요
确认删除：,삭제 확인:
确定删除：,삭제 확정:
操作指引参数有修改，是否需要保存？,조작 안내 매개변수가 수정되었습니다. 저장하시겠습니까?
参考点参数有修改，是否需要保存？,참조 포인트 매개변수가 수정되었습니다. 저장하시겠습니까?
未找到图片：guide.png，图片像素: 1001×450px。是否使用默认图片？,guide.png 이미지를 찾을 수 없습니다. 픽셀 크기: 1001×450px. 기본 이미지를 사용하시겠습니까?
未找到图片: referPoint.png，图片像素: 760×480px。是否使用默认图片？,referPoint.png 이미지를 찾을 수 없습니다. 픽셀 크기: 760×480px. 기본 이미지를 사용하시겠습니까?
机械手入,로봇 암 들어가기
当前页：,현재 페이지:
机械手出,로봇 암 나가기
转矩,토크
实时值,실시간 값
平均负载率,평균 부하율
多圈数据,다중 회전 데이터
驱动温度,드라이브 온도
母线电压,버스 전압
单圈数据,단일 회전 데이터
最大值,최대값
手控器,핸드 컨트롤러
F1:自动门1开/关 通,F1: 자동 문 1 열기/닫기 통함
C-:自动门1开/关 断,C-: 자동 문 1 열기/닫기 단절
F2:成品1夹紧/松开,F2: 완성품 1 클램핑/해제
工作,작업
加工完成,가공 완료
启动加工,가공 시작
手轮按键,핸드휠 버튼
工作:,작업:
加工完成:,가공 완료:
启动加工:,가공 시작:
信号:,신호:
手轮按键:,핸드휠 버튼:
点数,점수
A-起点,A-시작점
B-X方向终点,B-X 방향 종점
C-Y方向终点,C-Y 방향 종점
D点坐标,D 점 좌표
放料速度,공급 속도
放料起始点,공급 시작점
个数,개수
目标位置,목표 위치
是否保存已修改的程序？,수정된 프로그램을 저장하시겠습니까?
参考点指定,참조 포인트 지정
不指定,미지정
安全设置,안전 설정
信号设置,신호 설정
产品设置,제품 설정
系统设置,시스템 설정
伺服安全点,서보 안전 포인트
伺服参数,서보 매개변수
机器参数,기계 매개변수
堆叠设置,스택 설정
输出类型,출력 유형
电平,레벨
单脉冲,단일 펄스
双脉冲,더블 펄스
卡盘1夹紧,척 1 클램핑
脉冲,펄스
主轴定位1,주축 위치 지정 1
预留1,예약 1
主轴旋转1,주축 회전 1
加工完成1,가공 완료 1
启动加工1,가공 시작 1
自动门1开,자동 문 1 열림
启动加工2,가공 시작 2
自动门2开,자동 문 2 열림
主轴旋转2,주축 회전 2
主轴定位2,주축 위치 지정 2
加工完成2,가공 완료 2
预留2,예약 2
卡盘2夹紧,척 2 클램핑
互锁设置,연동 설정
正向阀,정방향 밸브
反向阀,역방향 밸브
正向检测,정방향 감지
反向检测,역방향 감지
成品1夹紧,완성품 1 클램핑
卡爪1正转,집게 1 정회전
原料1夹紧,원료 1 클램핑
原料2夹紧,원료 2 클램핑
成品2夹紧,완성품 2 클램핑
卡爪2正转,집게 2 정회전
页码：,페이지 번호:
端口自定义,포트 사용자 정의
默认名称,기본 이름
修改名称,이름 수정
修改端口,포트 수정
机械手入1,로봇 암 들어가기 1
机械手入2,로봇 암 들어가기 2
机械手出1,로봇 암 나가기 1
机械手出2,로봇 암 나가기 2
组选,그룹 선택
名称恢复,이름 복원
全部,전체
单个,개별
端口恢复,포트 복원
导出,내보내기
导入,가져오기
名称自定义,이름 사용자 정의
登陆权限,로그인 권한
子程序,서브 프로그램
放料跟随,공급 따라가기
预留关联,예약 연결
正关联,양의 연결
反关联,음의 연결
预留Y7,예약 Y7
预留EY2,예약 EY2
预留EY3,예약 EY3
预留Y8,예약 Y8
预留Y3,예약 Y3
预留EY4,예약 EY4
预留EY5,예약 EY5
预留Y6,예약 Y6
预留Y2,예약 Y2
预留Y4,예약 Y4
预留Y5,예약 Y5
预留EY6,예약 EY6
预留EY1,예약 EY1
预留Y1,예약 Y1
预留出类型,예약 출력 유형
停止断开,중지 단절
链条料道,체인 피더
转盘模式,회전판 모드
按键/信号,버튼/신호
按键B/Z2+,버튼 B/Z2+
按键F1,버튼 F1
按键B/Z2-,버튼 B/Z2-
按键F4,버튼 F4
按键X1-,버튼 X1-
按键F3,버튼 F3
按键X1+,버튼 X1+
按键A/Y2-,버튼 A/Y2-
按键A/Y2+,버튼 A/Y2+
按键C-,버튼 C-
按键F2,버튼 F2
按键C+,버튼 C+
按键Y1-,버튼 Y1-
按键Y1+,버튼 Y1+
按键Z1-,버튼 Z1-
按键Z1+,버튼 Z1+
刀座原点1检测,도구 홀더 원점 1 감지
急停输入,긴급 정지 입력
加工安全1,가공 안전 1
常开,항상 열림
常闭,항상 닫힘
刀座原点2检测,도구 홀더 원점 2 감지
暂停输入,일시 중지 입력
加工安全2,가공 안전 2
卡盘复归检测,척 복귀 감지
气压检测,공기 압력 감지
急停断使能,긴급 정지 비활성화
料仓安全入1,재고창 안전 입구 1
远程自动,원격 자동
急停输出,긴급 정지 출력
料仓安全入2,재고창 안전 입구 2
远程停止,원격 중지
周期停,주기적 정지
自动灯,자동 등
料仓安全出,재고창 안전 출구
低油限,저유량 한계
报警灯,경보등
报警输入1,경보 입력 1
注油器,윤활 장치
报警声,경보 소리
报警输入2,경보 입력 2
润滑泵,윤활 펌프
暂停灯,일시 중지등
机床,기계
机械手,로봇 암
定位完成1,위치 지정 완료 1
预留4,예약 4
预留7,예약 7
预留5,예약 5
自动门控制2,자동 문 제어 2
定位完成2,위치 지정 완료 2
预留3,예약 3
手动卡盘2入,수동 척 2 들어가기
预留6,예약 6
预留8,예약 8
自动门控制1,자동 문 제어 1
手动卡盘1入,수동 척 1 들어가기
机床安全,기계 안전
首件启动加工是否输出,첫 번째 가공 시작 시 출력 여부
手臂下降状态自动门2开关,팔이 내려간 상태에서 자동 문 2 스위치
手臂下降状态自动门1开关,팔이 내려간 상태에서 자동 문 1 스위치
不限制,제한 없음
开,열기
关,닫기
允许,허용
不输出,출력하지 않음
手臂下降状态自动门2开关状态,팔이 내려간 상태에서 자동 문 2 스위치 상태
手臂下降状态自动门1开关状态,팔이 내려간 상태에서 자동 문 1 스위치 상태
首件加工完成,첫 번째 가공 완료
启动有效,시작 유효
启动无效,시작 무효
料仓安全,재고창 안전
料仓安全入1恢复,재고창 안전 입구 1 복원
自动启动,자동 시작
手动启动,수동 시작
料仓安全入2恢复,재고창 안전 입구 2 복원
卡爪安全,집게 안전
卡爪安全1,집게 안전 1
(B)C轴禁止区,(B)C축 금지 구역
① X1轴范围(mm),① X1축 범위 (mm)
② Z1轴高度(mm),② Z1축 높이 (mm)
C轴在禁止区正转角度(mm),C축 금지 구역에서 정회전 각도 (mm)
C轴在禁止区反转角度(mm),C축 금지 구역에서 역회전 각도 (mm)
(A)卡爪1禁止区,(A)집게 1 금지 구역
卡爪1禁止区状态,집게 1 금지 구역 상태
X轴,X축
无,없음
Z轴,Z축
卡爪安全2,집게 안전 2
卡爪安全3,집게 안전 3
卡爪安全4,집게 안전 4
联机安全,연동 안전
联机区域1,연동 영역 1
① 区域输入,① 영역 입력
② 区域输出,② 영역 출력
④请求输出,④ 요청 출력
③请求输入,③ 요청 입력
外部联机,외부 연동
内部联机,내부 연동
联机选择,연동 선택
联机轴,연동 축
A1A2范围,A1A2 범위
主从模式,주-종 모드
主机,주기기
从机,종기기
脉冲时间(s),펄스 시간 (s)
联机区域2,연동 영역 2
联机区域3,연동 영역 3
联机区域4,연동 영역 4
等加工完成时间(S),가공 완료 대기 시간 (S)
脉冲输出时间(S),펄스 출력 시간 (S)
阀限制时间(S),밸브 제한 시간 (S)
自动周期时间(S),자동 주기 시간 (S)
报警响时间(S),경보음 시간 (S)
链条到位延时(S),체인 위치 지연 시간 (S)
夹检测滤波时间(S),클램핑 감지 필터 시간 (S)
润滑开启时间(S),윤활 시작 시간 (S)
润滑关闭时间(S),윤활 종료 시간 (S)
润滑延时(S),윤활 지연 시간 (S)
润滑间隔周期(S),윤활 간격 주기 (S)
产品记忆(S),제품 메모리 (S)
物联网,IoT
手控器物联网,핸드 컨트롤러 IoT
手臂编号,암 번호
机床编号,기계 번호
生产批次,생산 배치
主板物联网,메인 보드 IoT
机床通信,기계 통신
无校验,검증 없음
奇校验,홀수 검증
偶校验,짝수 검증
奇偶校验,홀짝 검증
主板通信,메인 보드 통신
波特率,보드 속도
语言设置,언어 설정
默认,기본값
新宋体,신송체
楷体,카이티
DejaVu Sans,DejaVu Sans
字体：,글꼴:
语言设置：,언어 설정:
字号：,글자 크기:
用户设置,사용자 설정
按键音设置：,버튼 소리 설정:
背光时间：,백라이트 시간:
触摸校准：,터치 교정:
LOGO设置：,로고 설정:
系统名称：,시스템 이름:
系统颜色：,시스템 색상:
系统时间：,시스템 시간:
秒,초
触摸屏校准,터치 스크린 교정
更新LOGO,로고 업데이트
机床机械手控制系统,기계 로봇 제어 시스템
背光亮度：,백라이트 밝기:
默认值,기본 값
橘色,주황색
黄色,노란색
绿色,녹색
棕色,갈색
年,년
月,월
日,일
时,시
分,분
升级与备份,업그레이드 및 백업
系统数据备份,시스템 데이터 백업
备份数据还原,백업 데이터 복원
恢复出厂设置,공장 초기화 복원
升级,업그레이드
手控器升级,핸드 컨트롤러 업그레이드
主板升级,메인 보드 업그레이드
IO板升级,IO 보드 업그레이드
伺服升级,서보 업그레이드
记事本,메모장
回退,롤백
标题：,제목:
密码设置,비밀번호 설정
旧密码：,이전 비밀번호:
旧密码,이전 비밀번호
新密码：,새 비밀번호:
新密码,새 비밀번호
确认新密码：,새 비밀번호 확인:
确认新密码,새 비밀번호 확인
超级管理员,슈퍼 관리자
菜单权限,메뉴 권한
Http服务器,HTTP 서버
Tcp客户端,TCP 클라이언트
本地IP：,로컬 IP:
本地端口：,로컬 포트:
远程端口：,원격 포트:
远程IP：,원격 IP:
连接,연결
断开,연결 해제
物联网：,IoT:
物联网调试数据：,IoT 디버깅 데이터:
清除窗口,창 지우기
打印发送,인쇄 전송
启动失败！,시작 실패!
注册信息,등록 정보
注册码：,등록 코드:
激活,활성화
注册码生成器,등록 코드 생성기
系统信息,시스템 정보
版本信息,버전 정보
手控器:,핸드 컨트롤러:
主板:,메인 보드:
旋转轴单位,회전축 단위
汇川,HuiChuan
禾川,HeChuan
迈信,MaiXin
雷赛,LeiSai
信捷,XinJie
睿能,RuiNeng
台邦,TaiBang
超川,ChaoChuan
纳川,NaChuan
迪威迅,DiWeiXun
科昇,KeSheng
红森,HongSen
通航,TongHang
台达,Delta
普菲得,PufeiDe
埃斯顿,Estun
三菱,Mitsubishi
西门子,Siemens
时代超群,ShidaiChaogroup
正弦,Sine
久同,JiuTong
大族,Dahua
日鼎,Riden
施耐德,Schneider
麦格米特,Magmeter
伺服品牌,서보 브랜드
2500线,2500 선
16位,16비트
17位,17비트
18位,18비트
19位,19비트
20位,20비트
21位,21비트
22位,22비트
23位,23비트
伺服型号,서보 모델
扩展IO开关,확장 IO 스위치
编码器类型,인코더 유형
增量式,증분식
绝对式,절대식
编码器位数,인코더 비트 수
1块,1개
轴参数,축 매개변수
正,양의
负,음의
最大坐标,최대 좌표
单圈脉冲数,단일 회전 펄스 수
坐标方向,좌표 방향
最小坐标,최소 좌표
单圈距离,단일 회전 거리
最大速度,최대 속도
轴速度,축 속도
减减速,감속
加加速,가속

加速时间(s),가속 시간(s)
减速时间(s),감속 시간(s)
安全区1,안전 영역1
Z轴机床区参数,Z축 기계 영역 매개변수
最大待机位置,최대 대기 위치
最大下降位置,최대 하강 위치
机床内高度,기계 내부 높이
轴组合,축 조합
Y轴,Y축
X轴Y轴参数,X축 Y축 매개변수
(A1)机床点1,(A1) 기계점1
(A2)机床点2,(A2) 기계점2
(B1)料仓点1,(B1) 자재창고점1
(B2)料仓点2,(B2) 자재창고점2
C1C2,C1C2
Z轴料仓区参数,Z축 자재창고 영역 매개변수
最大允许启动位置,최대 허용 시작 위치
加工完成输入口,가공 완료 입력 포트
安全区2,안전 영역2
安全区3,안전 영역3
安全区4,안전 영역4
位置限定,위치 제한
容差(mm),공차(mm)
Z1轴安全横行高度(mm),Z1축 안전 횡행 높이(mm)
B/Z2轴安全横行高度(mm),B/Z2축 안전 횡행 높이(mm)
旋转安全Y1位置(mm),회전 안전 Y1 위치(mm)
原点精度(mm),원점 정밀도(mm)
旋转安全Y2位置(mm),회전 안전 Y2 위치(mm)
动作确认误差(mm),동작 확인 오류(mm)
堆叠方式,적층 방식
三点式,삼점식
四点式,사점식
普通式,일반식
旋转料仓完成提示,회전 자재창고 완료 알림
不提示,알림 없음
旋转料仓工位数,회전 자재창고 작업 위치 수
逐组堆叠,그룹별 적층
逐行堆叠,행별 적층
逐层堆叠,층별 적층
分组堆叠,그룹 나누어 적층
一分二,1분할 2
一分三,1분할 3
堆叠记忆,적층 기억
料仓类型,자재창고 유형
平板式料仓,평판형 자재창고
旋转式料仓,회전형 자재창고
限位,제한 위치
原点信号,원점 신호
最大限位,최대 제한 위치
最小限位,최소 제한 위치
正限位,양(+) 제한 위치
负限位,음(-) 제한 위치
结构,구조
绝对位移,절대 변위
相对位移,상대 변위
气阀,에어 밸브
轴类型,축 유형
运动模式,운동 모드
原点,원점
不回原点,원점 복귀 안 함
回原点顺序,원점 복귀 순서
无原点,원점 없음
长原点,긴 원점
短原点,짧은 원점
回原点方向,원점 복귀 방향
找原点速度,원점 탐색 속도
原点偏移,원점 오프셋
离开原点速度,원점 이탈 속도
原点类型,원점 유형
复位子程序,리셋 서브프로그램
扭矩限制,토크 제한
通信,통신
发送,전송
参数数值,매개변수 값
轴编号,축 번호
是否开机设置,전원 켜기 설정 여부
存放组号,저장 그룹 번호
参数索引,매개변수 인덱스
参数子索引,매개변수 서브 인덱스
是否保存,저장 여부
参数长度,매개변수 길이
不保存,저장 안 함
不设置,설정 안 함
请输入菜单权限密码：,메뉴 권한 비밀번호를 입력하세요:
确认修改颜色？系统将重启！,색상을 변경하시겠습니까? 시스템이 재부팅됩니다!
确定修改系统时间？,시스템 시간을 변경하시겠습니까?
时间格式错误！,시간 형식 오류!
触摸校准会重启系统，请确认是否校准？,터치 보정을 진행하시겠습니까? 시스템이 재부팅됩니다!
Confirm Calibration?,교정 확인?
标题,제목
修改时间,수정 시간
请插入U盘！,USB를 삽입하세요!
导入成功!,가져오기 성공!
数据处理中，请稍候...,데이터 처리 중,잠시 기다려 주세요...
Please Wait...,잠시 기다려 주세요...
导出成功!,내보내기 성공!
菜单,메뉴
不可见,보이지 않음
产品,제품
密码不能为空！,비밀번호는 비워둘 수 없습니다!
旧密码错误！,기존 비밀번호가 잘못되었습니다!
两次输入密码不一致！,두 번 입력한 비밀번호가 일치하지 않습니다!
密码修改成功！,비밀번호 변경 성공!
标题不能为空！,제목은 비워둘 수 없습니다!
文件名格式错误！,파일명 형식 오류!
确定删除？,삭제하시겠습니까?
未检测到bootlogo.bmp文件,bootlogo.bmp 파일이 감지되지 않았습니다.
未检测到stop.jpg文件,stop.jpg 파일이 감지되지 않았습니다.
未检测到bootlogo.bmp和stop.jpg文件,bootlogo.bmp 및 stop.jpg 파일이 감지되지 않았습니다.
手持器升级完成,正在重启中...,핸드헬드 업그레이드 완료,재부팅 중...
主板升级完成,正在重启中...,메인보드 업그레이드 완료,재부팅 중...
IO板升级完成,正在重启中...,IO 보드 업그레이드 완료,재부팅 중...
伺服升级完成,正在重启中...,서보 업그레이드 완료,재부팅 중...
数据备份成功!,데이터 백업 성공!
数据还原成功!,데이터 복원 성공!
提示 : 手持器升级中,切勿断电,请等待自动重启!,안내: 핸드헬드 업그레이드 중,전원을 끄지 마세요,자동 재부팅을 기다려 주세요!
提示 : 主板升级中,切勿断电,请等待自动重启!,안내: 메인보드 업그레이드 중,전원을 끄지 마세요,자동 재부팅을 기다려 주세요!
提示 : IO板升级中,切勿断电,请等待自动重启!,IO 보드 업그레이드 중,전원을 끄지 마세요. 자동 재시작을 기다려주세요!
提示 : 伺服升级中,切勿断电,请等待自动重启!,서보 업그레이드 중,전원을 끄지 마세요. 자동 재시작을 기다려주세요!
提示 : 数据备份中,切勿断电!,데이터 백업 중,전원을 끄지 마세요!
提示 : 数据还原中,切勿断电!,데이터 복원 중,전원을 끄지 마세요!
升级成功！等待重启,업그레이드 성공! 재시작을 기다려주세요
升级失败，请重启机器再次升级！,업그레이드 실패! 기계를 재시작하고 다시 업그레이드하세요!
输入信号,입력 신호
输出信号,출력 신호
关闭,닫기
Z轴参数,Z축 매개변수
从小到大,작은 값에서 큰 값으로
从大到小,큰 값에서 작은 값으로
方向,방향
间距(mm),간격 (mm)
偏移,오프셋
起始(mm),시작점 (mm)
移至堆叠点,스택 포인트로 이동
移至跟随点,따라가기 포인트로 이동
顺序,순서
计数方式,카운팅 방법
程序结束,프로그램 종료
命令结束,명령 종료
留空,비워두기
首位不取,첫 번째 항목 제외
末位不放,마지막 항목 추가하지 않음
三轴联动,3축 연동
输入值的范围不能超过%1～%2,请重新输入！,입력 값의 범위는 %1 ~ %2를 초과할 수 없습니다. 다시 입력해주세요!
移动,이동
X1轴伺服未开启，请把轴的堆叠点数设为0,X1축 서보가 켜져 있지 않습니다. 축의 스택 포인트 수를 0으로 설정하세요.
Y1轴伺服未开启，请把轴的堆叠点数设为0,Y1축 서보가 켜져 있지 않습니다. 축의 스택 포인트 수를 0으로 설정하세요.
Z1轴伺服未开启，请把轴的堆叠点数设为0,Z1축 서보가 켜져 있지 않습니다. 축의 스택 포인트 수를 0으로 설정하세요.
9组,9 그룹
轴指定个数：,축 지정 개수:
11组,11 그룹
10组,10 그룹
7组,7 그룹
6组,6 그룹
8组,8 그룹
5组,5 그룹
4组,4 그룹
Z轴指定个数：,Z축 지정 개수:
Y轴指定个数：,Y축 지정 개수:
2组,2 그룹
3组,3 그룹
X轴指定个数：,X축 지정 개수:
1组,1 그룹
分解,분해
组合,조합
上移,위로 이동
下移,아래로 이동
屏蔽,차단
插入,삽입
子程序选择,서브 프로그램 선택
延时时间,지연 시간
提前,미리
结束,종료
加速,가속
减速,감속
提前位置,미리 위치
提前速度,미리 속도
状态,상태
夹紧,클램핑
松开,해제
延时,지연
堆叠个数为0时，参数不能修改，请修改堆叠个数,스택 개수가 0일 때 매개변수를 수정할 수 없습니다. 스택 개수를 수정하세요.
间隔为,간격:
次,회
返回步号,돌아갈 단계 번호
返回标签,돌아갈 태그
无标签,태그 없음
限时,제한 시간
故障编号,고장 번호
提示编号,안내 번호
标签1,태그 1
跳转到,이동
其他,기타
运算符,연산자
赋值,할당
产量,생산량
堆叠计数,스택 카운팅
循环,반복
位置记忆,위치 기억
到位报警,도착 알람
运行速度,작동 속도
最大位置,최대 위치
偏移位置,오프셋 위치
停止信号,정지 신호
低速转矩,저속 토크
自动子程序,자동 서브 프로그램
标签/注释,태그/주석
转矩保护,토크 보호
逻辑&变量,논리 & 변수
伺服停止,서보 정지
搜索,검색
标签/标注,태그/표시
跳转,점프
如果,만약에
条件2,조건 2
否则,그렇지 않으면
结束如果,if 종료
并且,그리고
或者,또는
循环结束,반복 종료
循环开始：,반복 시작:
操作数与运算符,피연산자와 연산자
