source_text,translation_text
请先解决报警再启动！,
请将三档开关切换到自动档再启动,
机器未复位,
机器未回零,
请先解决报警再回原！,
是否现在回原点？,
请先解决报警再复位！,
是否现在复归？,
请先将三档开关切换到自动档,
请先回原点,
参数同步失败!失败编号：,
程式：,
教导参数有修改，是否需要保存？,
回原点中...,
复位中...,
操作指引,
编辑位置,
导入图片,
新增,
轴动作,
手动,
位置+,
速度,
轴选择,
禁止,
位置-,
调机,
调机功能,
手动智能力矩,
编码器脉冲,
每转距离,
当前轴,
内部脉冲,
正转,
反转,
无信号Z轴允许下降,
卡爪/机床,
控制旋转1断,
启动加工1断,
自动门1关,
主轴定位1断,
机床控制使能,
卡盘1松开,
吹气1断,
成品1松开,
卡爪1反转,
原料1松开,
组一,
预留Y1断,
预留Y2断,
预留Y3断,
预留Y4断,
预留Y5断,
预留Y6断,
预留Y7断,
预留Y8断,
组二,
预留Y9断,
预留Y10断,
预留Y11断,
预留Y12断,
预留Y13断,
预留Y14断,
预留Y15断,
预留Y16断,
组三,
预留Y17断,
预留Y19断,
预留Y21断,
预留Y23断,
预留Y18断,
预留Y20断,
预留Y22断,
预留Y24断,
IO板,
刷新,
referPoint.png,
名称：,
移至参考点,
进入堆叠,
当前未找原点,
请输入高级管理员密码,
确认删除：,
确定删除：,
操作指引参数有修改，是否需要保存？,
参考点参数有修改，是否需要保存？,
未找到图片：guide.png，图片像素: 1001×450px。是否使用默认图片？,
未找到图片: referPoint.png，图片像素: 760×480px。是否使用默认图片？,
机械手入,
当前页：,
机械手出,
转矩,
实时值,
平均负载率,
多圈数据,
驱动温度,
母线电压,
单圈数据,
最大值,
手控器,
F1:自动门1开/关 通,
C-:自动门1开/关 断,
F2:成品1夹紧/松开,
工作,
加工完成,
启动加工,
手轮按键,
工作:,
加工完成:,
启动加工:,
信号:,
手轮按键:,
点数,
A-起点,
B-X方向终点,
C-Y方向终点,
D点坐标,
放料速度,
放料起始点,
个数,
目标位置,
是否保存已修改的程序？,
参考点指定,
不指定,
安全设置,
信号设置,
产品设置,
系统设置,
伺服安全点,
伺服参数,
机器参数,
堆叠设置,
输出类型,
电平,
单脉冲,
双脉冲,
卡盘1夹紧,
脉冲,
主轴定位1,
预留1,
主轴旋转1,
加工完成1,
启动加工1,
自动门1开,
启动加工2,
自动门2开,
主轴旋转2,
主轴定位2,
加工完成2,
预留2,
卡盘2夹紧,
互锁设置,
正向阀,
反向阀,
正向检测,
反向检测,
成品1夹紧,
卡爪1正转,
原料1夹紧,
原料2夹紧,
成品2夹紧,
卡爪2正转,
页码：,
端口自定义,
默认名称,
修改名称,
修改端口,
机械手入1,
机械手入2,
机械手出1,
机械手出2,
组选,
名称恢复,
全部,
单个,
端口恢复,
导出,
导入,
名称自定义,
登陆权限,
子程序,
放料跟随,
预留关联,
正关联,
反关联,
预留Y7,
预留EY2,
预留EY3,
预留Y8,
预留Y3,
预留EY4,
预留EY5,
预留Y6,
预留Y2,
预留Y4,
预留Y5,
预留EY6,
预留EY1,
预留Y1,
预留出类型,
停止断开,
链条料道,
转盘模式,
按键/信号,
按键B/Z2+,
按键F1,
按键B/Z2-,
按键F4,
按键X1-,
按键F3,
按键X1+,
按键A/Y2-,
按键A/Y2+,
按键C-,
按键F2,
按键C+,
按键Y1-,
按键Y1+,
按键Z1-,
按键Z1+,
刀座原点1检测,
急停输入,
加工安全1,
常开,
常闭,
刀座原点2检测,
暂停输入,
加工安全2,
卡盘复归检测,
气压检测,
急停断使能,
料仓安全入1,
远程自动,
急停输出,
料仓安全入2,
远程停止,
周期停,
自动灯,
料仓安全出,
低油限,
报警灯,
报警输入1,
注油器,
报警声,
报警输入2,
润滑泵,
暂停灯,
机床,
机械手,
定位完成1,
预留4,
预留7,
预留5,
自动门控制2,
定位完成2,
预留3,
手动卡盘2入,
预留6,
预留8,
自动门控制1,
手动卡盘1入,
机床安全,
首件启动加工是否输出,
手臂下降状态自动门2开关,
手臂下降状态自动门1开关,
不限制,
开,
关,
允许,
不输出,
手臂下降状态自动门2开关状态,
手臂下降状态自动门1开关状态,
首件加工完成,
启动有效,
启动无效,
料仓安全,
料仓安全入1恢复,
自动启动,
手动启动,
料仓安全入2恢复,
卡爪安全,
卡爪安全1,
(B)C轴禁止区,
① X1轴范围(mm),
② Z1轴高度(mm),
C轴在禁止区正转角度(mm),
C轴在禁止区反转角度(mm),
(A)卡爪1禁止区,
卡爪1禁止区状态,
X轴,
无,
Z轴,
卡爪安全2,
卡爪安全3,
卡爪安全4,
联机安全,
联机区域1,
① 区域输入,
② 区域输出,
④请求输出,
③请求输入,
外部联机,
内部联机,
联机选择,
联机轴,
A1A2范围,
主从模式,
主机,
从机,
脉冲时间(s),
联机区域2,
联机区域3,
联机区域4,
等加工完成时间(S),
脉冲输出时间(S),
阀限制时间(S),
自动周期时间(S),
报警响时间(S),
链条到位延时(S),
夹检测滤波时间(S),
润滑开启时间(S),
润滑关闭时间(S),
润滑延时(S),
润滑间隔周期(S),
产品记忆(S),
物联网,
手控器物联网,
手臂编号,
机床编号,
生产批次,
主板物联网,
机床通信,
无校验,
奇校验,
偶校验,
奇偶校验,
主板通信,
波特率,
语言设置,
默认,
新宋体,
楷体,
DejaVu Sans,
字体：,
语言设置：,
字号：,
用户设置,
按键音设置：,
背光时间：,
触摸校准：,
LOGO设置：,
系统名称：,
系统颜色：,
系统时间：,
秒,
触摸屏校准,
更新LOGO,
机床机械手控制系统,
背光亮度：,
默认值,
橘色,
黄色,
绿色,
棕色,
年,
月,
日,
时,
分,
升级与备份,
系统数据备份,
备份数据还原,
恢复出厂设置,
升级,
手控器升级,
主板升级,
IO板升级,
伺服升级,
记事本,
回退,
标题：,
密码设置,
旧密码：,
旧密码,
新密码：,
新密码,
确认新密码：,
确认新密码,
超级管理员,
菜单权限,
Http服务器,
Tcp客户端,
本地IP：,
本地端口：,
远程端口：,
远程IP：,
连接,
断开,
物联网：,
物联网调试数据：,
清除窗口,
打印发送,
启动失败！,
注册信息,
注册码：,
激活,
注册码生成器,
,
系统信息,
版本信息,
手控器:,
主板:,
旋转轴单位,
汇川,
禾川,
迈信,
雷赛,
信捷,
睿能,
台邦,
超川,
纳川,
迪威迅,
科昇,
红森,
通航,
台达,
普菲得,
埃斯顿,
三菱,
西门子,
时代超群,
正弦,
久同,
大族,
日鼎,
施耐德,
麦格米特,
伺服品牌,
2500线,
16位,
17位,
18位,
19位,
20位,
21位,
22位,
23位,
伺服型号,
扩展IO开关,
编码器类型,
增量式,
绝对式,
编码器位数,
1块,
轴参数,
正,
负,
最大坐标,
单圈脉冲数,
坐标方向,
最小坐标,
单圈距离,
最大速度,
轴速度,
减减速,
加加速,
加速时间(s),
减速时间(s),
安全区1,
Z轴机床区参数,
最大待机位置,
最大下降位置,
机床内高度,
轴组合,
Y轴,
X轴Y轴参数,
(A1)机床点1,
(A2)机床点2,
(B1)料仓点1,
(B2)料仓点2,
C1C2,
Z轴料仓区参数,
最大允许启动位置,
加工完成输入口,
安全区2,
安全区3,
安全区4,
位置限定,
容差(mm),
Z1轴安全横行高度(mm),
B/Z2轴安全横行高度(mm),
旋转安全Y1位置(mm),
原点精度(mm),
旋转安全Y2位置(mm),
动作确认误差(mm),
堆叠方式,
三点式,
四点式,
普通式,
旋转料仓完成提示,
不提示,
旋转料仓工位数,
逐组堆叠,
逐行堆叠,
逐层堆叠,
分组堆叠,
一分二,
一分三,
堆叠记忆,
料仓类型,
平板式料仓,
旋转式料仓,
限位,
原点信号,
最大限位,
最小限位,
正限位,
负限位,
结构,
绝对位移,
相对位移,
气阀,
轴类型,
运动模式,
原点,
不回原点,
回原点顺序,
无原点,
长原点,
短原点,
回原点方向,
找原点速度,
原点偏移,
离开原点速度,
原点类型,
复位子程序,
扭矩限制,
通信,
发送,
参数数值,
轴编号,
是否开机设置,
存放组号,
参数索引,
参数子索引,
是否保存,
参数长度,
不保存,
不设置,
请输入菜单权限密码：,
确认修改颜色？系统将重启！,
确定修改系统时间？,
时间格式错误！,
触摸校准会重启系统，请确认是否校准？, Confirm Calibration?
标题,
修改时间,
请插入U盘！,
导入成功!,
数据处理中，请稍候..., Please Wait...
导出成功!,
菜单,
不可见,
产品,
密码不能为空！,
旧密码错误！,
两次输入密码不一致！,
密码修改成功！,
标题不能为空！,
文件名格式错误！,
确定删除？,
未检测到bootlogo.bmp文件,
未检测到stop.jpg文件,
未检测到bootlogo.bmp和stop.jpg文件,
手持器升级完成,正在重启中...,
主板升级完成,正在重启中...,
IO板升级完成,正在重启中...,
伺服升级完成,正在重启中...,
数据备份成功!,
数据还原成功!,
提示 : 手持器升级中,切勿断电,请等待自动重启!", do not power off
提示 : 主板升级中,切勿断电,请等待自动重启!", do not power off
提示 : IO板升级中,切勿断电,请等待自动重启!", do not power off
提示 : 伺服升级中,切勿断电,请等待自动重启!", do not power off
提示 : 数据备份中,切勿断电!"," do not power off!"""
"提示 : 数据还原中,切勿断电!"," do not power off!"""
升级成功！等待重启,
升级失败，请重启机器再次升级！, please restart the machine and try upgrading again!
输入信号,
输出信号,
关闭,
Z轴参数,
从小到大,
从大到小,
方向,
间距(mm),
偏移,
起始(mm),
移至堆叠点,
移至跟随点,
顺序,
计数方式,
程序结束,
命令结束,
留空,
首位不取,
末位不放,
三轴联动,
"输入值的范围不能超过%1～%2,请重新输入！"," please re-enter!"""
移动,
X1轴伺服未开启，请把轴的堆叠点数设为0, please set the stacking points of the axis to 0
Y1轴伺服未开启，请把轴的堆叠点数设为0, please set the stacking points of the axis to 0
Z1轴伺服未开启，请把轴的堆叠点数设为0, please set the stacking points of the axis to 0
9组,
轴指定个数：,
11组,
10组,
7组,
6组,
8组,
5组,
4组,
Z轴指定个数：,
Y轴指定个数：,
2组,
3组,
X轴指定个数：,
1组,
分解,
组合,
上移,
下移,
屏蔽,
插入,
子程序选择,
延时时间,
提前,
结束,
加速,
减速,
提前位置,
提前速度,
状态,
夹紧,
松开,
延时,
堆叠个数为0时，参数不能修改，请修改堆叠个数, please change the stacking number
间隔为,
次,
返回步号,
返回标签,
无标签,
限时,
故障编号,
提示编号,
标签1,
跳转到,
其他,
运算符,
赋值,
产量,
堆叠计数,
循环,
位置记忆,
到位报警,
运行速度,
最大位置,
偏移位置,
停止信号,
低速转矩,
自动子程序,
标签/注释,
转矩保护,
逻辑&变量,
伺服停止,
搜索,
标签/标注,
跳转,
如果,
条件2,
否则,
结束如果,
并且,
或者,
循环结束,
循环开始：,
操作数与运算符,
运算符：,
类型,
定时开始,
定时结束,
定时清零,
定时器选择：,
搜索1,
搜索2,
搜索3,
搜索4,
搜索5,
搜索6,
搜索7,
搜索8,
位置(mm),
感应停止,
标准,
自动,
并行一次,
等待子程序完成,
通用,
信号等待,
卡爪动作,
速度教导,
信号检测,
预留输出,
信号输出,
检测,
卡爪检测,
夹紧检测开始,
松开检测开始,
夹紧检测结束,
松开检测结束,
原料1夹紧限,
成品1夹紧限,
卡盘1夹紧限,
原料1松开限,
成品1松开限,
卡盘1松开限,
预留检测,
预留ON检测,
预留OFF检测,
预留检测结束,
吹气1通,
主轴旋转1通,
启动加工1通,
主轴定位1通,
报警灯开,
报警声开,
延时动作,
报警自定义,
周期停止,
堆叠清零,
放料跟随堆叠1组,
放料跟随堆叠2组,
放料跟随堆叠3组,
放料跟随堆叠4组,
堆叠9组,
堆叠10组,
堆叠11组,
预留通,
预留通时,
预留翻转,
时间,
等待机床,
等待机床信号,
等待卡爪,
等待松开OFF,
卡爪1反转限,
卡爪1正转限,
等待松开ON,
等待夹紧ON,
等待夹紧OFF,
夹紧位置修正,
卡爪1松开,
等待预留,
等待预留上升沿,
等待预留OFF,
等待预留下降沿,
等待预留ON,
等待预留跳变沿,
返回,
标签,
整数,
一位小数,
两位小数,
确认删除所选动作？,
删除失败,
X1轴超出最大范围,
Y1轴超出最大范围,
Z1轴超出最大范围,
Y2轴超出最大范围,
Z2轴超出最大范围,
预留断,
"输入值的范围不能超过1450～1499,请重新输入。"," please re-enter."""
复制,
加载,
预览,
全选,
全不选,
原文件名：,
现文件名：,
权限：,
时间/位置允许,
时间允许,
程序名格式错误！,
程序文本不能为空,
文件已经存在！,
无法打开文件进行写入,
请选择一个要复制的程序！,
程序名不能为空！,
文件已存在！,
文件复制失败！,
请选择一个要加载的程序！,
请选择一个要预览的程序！,
请先对文件进行解锁！,
确认删除文件？,
不能删除当前已经加载文件！,
导出成功！,
没有选择要导入的文件！,
文件已存在，请确认是否覆盖？, please confirm if it should be overwritten?
文件导入成功！,
文件名,
最后修改时间,
密码：,
变量9类型,
小数,
变量10类型,
变量11类型,
变量12类型,
变量13类型,
变量14类型,
变量15类型,
变量16类型,
变量1类型,
变量2类型,
变量3类型,
变量4类型,
变量5类型,
变量6类型,
变量7类型,
变量8类型,
恢复选项,
保留教导程序,
保留每转距离等数据,
确认,
输入密码:,
剪切,
粘贴,
重命名,
数据选项,
教导文件,
系统参数,
全部参数,
浏览...,
请确认: [手持器]---->[U盘],
请确认: [U盘]---->[手持器],
是否现在进行手持器升级？,
是否现在进行主板升级？,
当前系统无IO板,
当前系统不支持伺服升级,
是否备份设置文件U盘？,
是否从U盘恢复设置文件？,
输入恢复密码，按确认按键，将恢复出场设置，并重启系统!, press the confirm button to restore factory settings and reboot the system!
升级文件类型异常！请选择类型为M_VX_X.bin类型的文件进行升级,
未选中升级文件！,
请选择文件名为MachineTool的升级文件进行升级,
未发现恢复出场设置文件！,
